"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X254","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald61","M","A",22,8,2007,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-85.79320736613
"X255","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald62","M","A",25,9,2006,"TURBINE_CARCASS",NA,"Baerwald",268,"yes",-85.0404522186645
"X256","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald63","M","A",13,8,2006,"TURBINE_CARCASS",NA,"Baerwald",225,"yes",-74.4727918110037
"X257","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald64","M","A",3,9,2006,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-46.8217413111384
"X258","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald65","F","J",25,8,2007,"TURBINE_CARCASS",NA,"Baerwald",237,"yes",-159.663236661964
"X259","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald66","F","J",3,9,2007,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-141.656414333432
"X260","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald67","F","J",17,8,2007,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-133.810059644788
"X261","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald68","F","J",1,9,2007,"TURBINE_CARCASS",NA,"Baerwald",244,"yes",-125.903893706222
"X262","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald69","F","J",26,8,2006,"TURBINE_CARCASS",NA,"Baerwald",238,"yes",-124.557455356333
"X263","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald7","F","A",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-125.798146143039
"X264","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald70","F","J",24,8,2007,"TURBINE_CARCASS",NA,"Baerwald",236,"yes",-119.533236768118
"X265","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald71","F","J",19,8,2007,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-114.685290908094
"X266","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald72","F","J",23,8,2007,"TURBINE_CARCASS",NA,"Baerwald",235,"yes",-113.964598705255
"X267","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald73","F","J",28,8,2007,"TURBINE_CARCASS",NA,"Baerwald",240,"yes",-112.982458892776
"X268","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald74","F","J",9,8,2006,"TURBINE_CARCASS",NA,"Baerwald",221,"yes",-109.572093442142
"X269","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald75","F","J",29,8,2007,"TURBINE_CARCASS",NA,"Baerwald",241,"yes",-105.513981807934
"X270","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald76","F","J",3,9,2007,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-105.160406512241
"X271","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald77","F","J",15,8,2007,"TURBINE_CARCASS",NA,"Baerwald",227,"yes",-105.005003802527
"X272","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald78","F","J",13,9,2006,"TURBINE_CARCASS",NA,"Baerwald",256,"yes",-104.779499411011
"X273","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald79","F","J",6,8,2006,"TURBINE_CARCASS",NA,"Baerwald",218,"yes",-104.418848055693
"X274","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald8","F","A",19,8,2006,"TURBINE_CARCASS",NA,"Baerwald",231,"yes",-121.528889559953
